TestID,AvgCost,MinCost,MaxCost,AvgTime,MinTime,MaxTime,SuccessRate
tuning_2_1_3,394.00,394,394,60.0320,60.0128,60.0561,100%
tuning_2_2_2,394.00,394,394,60.0829,60.0143,60.2040,100%
tuning_2_1_6,397.33,394,404,60.1021,60.0675,60.1606,100%
tuning_2_1_9,397.33,394,404,60.1222,60.0532,60.2009,100%
tuning_2_2_1,394.00,394,394,60.1452,60.0741,60.2011,100%
tuning_2_1_10,400.67,394,404,60.1470,60.0406,60.2061,100%
tuning_2_2_3,397.33,394,404,60.1531,60.0583,60.3109,100%
tuning_2_2_5,400.67,394,404,60.1602,60.0465,60.2881,100%
tuning_2_1_8,406.00,394,420,60.1739,60.0511,60.2465,100%
tuning_2_1_5,397.33,394,404,60.1870,60.0201,60.5145,100%
tuning_2_1_2,394.00,394,394,60.2393,60.0648,60.5534,100%
tuning_2_1_1,394.00,394,394,60.2478,60.0232,60.5967,100%
tuning_2_1_7,397.33,394,404,60.2952,60.1379,60.5493,100%
tuning_2_1_4,400.67,394,404,60.4354,60.1075,61.0897,100%
tuning_2_2_4,397.33,394,404,60.5774,60.2845,61.1524,100%
tuning_bl_2,394.00,394,394,74.6319,71.7425,78.3151,100%
tuning_2_2_7,400.67,394,404,60.1835,60.0299,60.3913,100%
tuning_2_2_8,404.00,404,404,60.1802,60.1420,60.2312,100%
tuning_2_2_6,397.33,394,404,60.2527,60.0681,60.4028,100%
tuning_2_2_9,400.67,394,404,60.1941,60.0943,60.3830,100%
tuning_2_2_10,404.00,394,414,60.2198,60.2065,60.2319,100%
tuning_2_4_2,394.00,394,394,60.3911,60.0320,60.8594,100%
tuning_2_4_3,400.67,394,404,60.6649,60.4858,61.0138,100%
tuning_2_4_1,394.00,394,394,60.7711,60.1679,61.9350,100%
tuning_2_4_6,416.00,404,440,60.7023,60.1629,61.7403,100%
tuning_2_4_10,414.67,394,430,60.4322,60.1769,60.5943,100%
tuning_2_4_8,400.67,394,414,60.9720,60.0238,62.3517,100%
tuning_2_4_5,404.00,394,414,61.2343,60.9088,61.7932,100%
tuning_2_4_9,412.67,394,440,61.1510,60.0882,62.7306,100%
tuning_2_4_4,404.00,404,404,61.4387,60.0781,64.0983,100%
tuning_2_4_7,424.67,414,430,61.4462,60.2996,63.6006,100%
tuning_2_8_1,394.00,394,394,60.9240,60.4859,61.6064,100%
tuning_2_8_4,397.33,394,404,60.4594,60.2057,60.8012,100%
tuning_2_8_6,397.33,394,404,60.4641,60.1737,60.7978,100%
tuning_2_8_2,394.00,394,394,60.5723,60.0971,61.3453,100%
tuning_2_8_5,400.67,394,404,60.5740,60.2077,60.8727,100%
tuning_2_8_3,400.67,394,404,61.0469,60.0724,62.2650,100%
tuning_2_8_7,428.00,414,440,60.8046,60.4624,61.1168,100%
tuning_2_8_10,442.00,394,476,60.4379,60.1809,60.6697,100%
tuning_2_8_8,412.67,404,430,60.5823,60.5219,60.6219,100%
tuning_2_8_9,412.67,404,430,60.6623,60.3313,61.2306,100%
